日付,時,分,インプレッション,エンゲージメント,エンゲージメント率,リポスト,返信,いいね,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,固定リンクのクリック数,アプリ表示,アプリインストール,フォローしている,ポストをメール送信,ダイアル式電話,メディアの再生数,メディアのエンゲージメント数
2022/09/15,22,36,22870,4152,0.181547879,14,1,203,3600,0,0,333,0,0,0,1,0,0,0,0
2022/09/17,13,42,56824,1520,0.026749261,14,1,193,915,0,0,397,0,0,0,0,0,0,1,0
2022/10/06,19,46,28306,1062,0.037518547,15,3,89,240,0,0,713,0,0,0,0,0,0,3,2
2022/10/19,18,36,26355,323,0.012255739,0,0,61,176,2,0,84,0,0,0,0,0,0,0,0
2022/11/03,18,27,101730,3098,0.03045316,13,0,270,2437,8,0,369,0,0,0,1,0,0,0,0
2022/11/06,21,11,9603,439,0.045714881,2,0,17,101,233,0,86,0,0,0,0,0,0,3,0
2022/11/07,19,41,50377,2366,0.046965877,45,0,301,365,39,0,389,0,0,0,0,0,0,1227,1227
2022/11/11,20,38,18581,978,0.052634411,5,0,58,256,19,0,92,0,0,0,1,0,0,6555,547
2022/11/15,22,20,125211,3406,0.027202083,46,7,538,2077,1,0,737,0,0,0,0,0,0,2,0
2022/11/19,20,22,119720,11344,0.094754427,156,8,808,4360,40,0,816,0,0,0,1,0,0,31528,5155
2022/11/30,19,50,33472,1020,0.030473231,31,0,77,240,449,0,223,0,0,0,0,0,0,0,0
2022/12/01,5,55,8190,167,0.02039072,2,0,88,54,0,4,19,0,0,0,0,0,0,0,0
2022/12/02,19,25,44070,1685,0.038234627,12,4,92,612,7,0,954,0,0,0,0,0,0,5,4
2022/12/03,20,13,27145,1358,0.050027629,29,0,173,290,686,0,180,0,0,0,0,0,0,0,0
2022/12/06,20,3,189980,18790,0.098905148,41,2,849,15948,120,0,941,0,0,0,3,0,0,886,886
2022/12/16,20,40,156545,4778,0.030521575,68,7,302,1587,50,0,1553,0,0,0,0,0,0,1213,1211
2022/12/16,22,6,6806,390,0.05730238,1,1,3,370,0,0,15,0,0,0,0,0,0,0,0
2022/12/16,22,6,7058,408,0.057806744,5,1,45,182,0,0,174,0,0,0,0,0,0,1,1
2022/12/17,23,27,467163,36558,0.078255341,558,5,2510,2478,259,0,2825,0,0,0,13,0,0,142425,27910
2022/12/18,12,34,6074,118,0.019427066,1,1,5,54,0,0,57,0,0,0,0,0,0,1,0
2022/12/18,21,10,196,4,0.020408163,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
2022/12/19,20,37,14186,579,0.040814888,10,0,77,79,377,0,36,0,0,0,0,0,0,0,0
2022/12/27,13,36,18472,330,0.017864877,11,0,102,80,11,10,48,0,0,0,0,0,0,68,68
2022/12/27,19,8,55806,925,0.016575279,18,1,152,185,234,0,199,0,0,0,0,0,0,138,136
2022/12/27,19,9,12033,193,0.016039225,2,0,19,71,1,0,65,0,0,0,0,0,0,35,35
2022/12/29,18,28,118882,6337,0.053304958,37,0,212,340,26,0,397,0,0,0,1,0,0,28731,5324
2022/12/30,20,8,7486,78,0.01041945,4,1,28,11,29,0,5,0,0,0,0,0,0,0,0
2022/12/30,20,8,22333,423,0.018940581,6,1,92,148,125,0,51,0,0,0,0,0,0,0,0
2022/12/30,20,9,7609,323,0.042449731,11,0,82,26,188,0,16,0,0,0,0,0,0,0,0
2022/12/31,19,41672,1110,0.026636591,13,1,273,673,0,0,150,0,0,0,0,0,0,0,0,
